Abbreviation, Number, Title, Category, Pre-Requisites / Potential Sequences, Co-Requisites, Difficulty
COSC, 101, Introduction to Programming, MJ, none, none
COSC, 102, Introduction to Computer Science, MJ, COSC 101, MATH 132 or MATH 141 or MATH 147
COSC, 230, Computer Organization, MJ, COSC 102, none
COSC, 202, Data Structures and Algorithms I, MJ, COSC 102, none
COSC, 302, Data Structures and Algorithms II, MJ, COSC 202, none
COSC, 360, Systems Programing, MJ, COSC 302 or COSC 307 and COSC 230 or ECE 256, none
COSC, 366, Introduction to Cybersecurity, MJ, COSC 302 or COSC 307 and ECE 256 or COSC 230, none
COSC, 401, Senior Design Theory, OC, COSC 360, none
COSC, 402, Senior Design Practicum, AOC, COSC 401 and ENGL 102, none
COSC, 361, Operating Systems, MJ, COSC 360 or COSC 367, none
COSC, 395, Juinor Seminar, MJ, COSC 302 or COSC 307 and ENGL 102 or ENGL 132 or ENGL 290 or ENGL 298
COSC, 311, Discrete Structures, MJ, COSC 202 and MATH 142 or MATH 148, none
COSC, 312, Algorithm Analysis and Automata, MJ, COSC 311 or COSC 317, none
COSC, 340, Software Engineering, MJ, COSC 302 or COSC 307, none
COSC, 365, Programming Languages and Systems, MJ, COSC 302 or COSC 307, none
ECE, 313, Probability and Random Variables, MJ, MATH 142 or MATH 148, none